Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_12,EMA_26,MACD,Signal_Line
227.3000030517578,228.5,225.41000366210938,227.52000427246094,36636700,0.0,0.0,,,227.52000427246094,227.52000427246094,0.0,0.0
228.4600067138672,229.52000427246094,227.3000030517578,227.7899932861328,34026000,0.0,0.0,,100.0,227.56154104379507,227.54000345865884,0.02153758513622961,0.004307517027245922
230.0399932861328,233.0,229.64999389648438,233.0,54541900,0.0,0.0,,100.0,228.39822703705735,227.94444764690635,0.45377939015099855,0.09420189165199645
229.52000427246094,229.64999389648438,223.74000549316406,226.2100067138672,63285000,0.0,0.0,,44.661781860056756,228.06157775656655,227.8159705407553,0.24560721581124767,0.1244829564838467
225.88999938964844,227.3699951171875,223.02000427246094,226.77999877929688,32880600,0.0,0.0,228.26000061035157,47.11835442511477,227.86441176006352,227.73923189175838,0.12517986830513905,0.12462233884810517
225.13999938964844,226.80999755859375,223.32000732421875,225.6699981689453,34044200,0.0,0.0,227.88999938964844,43.369145047285905,227.52680966912226,227.58595531969814,-0.05914565057588561,0.08786874096330702
227.89999389648438,228.0,224.1300048828125,226.8000030517578,37245100,0.0,0.0,227.69200134277344,47.61272592235819,227.4149932664508,227.52773663318405,-0.11274336673324115,0.04774631942399739
224.5,225.69000244140625,221.3300018310547,221.69000244140625,39505400,0.0,0.0,225.43000183105468,35.56214578463404,226.5342254472132,227.09531187823754,-0.5610864310243358,-0.07402023066566923
224.3000030517578,225.97999572753906,223.25,225.77000427246094,31855700,0.0,0.0,225.34200134277344,46.39472436717177,226.41665295878977,226.9971409444763,-0.5804879856865455,-0.1753137816698445
225.22999572753906,229.75,224.8300018310547,229.5399932861328,33591100,0.0,0.0,225.8940002441406,53.60198037905387,226.89716685530408,227.1855003771916,-0.28833352188752315,-0.19791772971338023
227.77999877929688,229.5,227.1699981689453,229.0399932861328,28183500,0.0,0.0,226.56799926757813,52.6629120250471,227.22683246004698,227.32287022229835,-0.0960377622513704,-0.17754173622097827
229.3000030517578,229.41000366210938,227.33999633789062,227.5500030517578,31759200,0.0,0.0,226.71799926757814,50.049948070266716,227.2765510126179,227.33969487633237,-0.06314386371448677,-0.15466216171967997
228.6999969482422,231.72999572753906,228.60000610351562,231.3000030517578,39882100,0.0,0.0,228.63999938964844,55.5950300929983,227.89554363402402,227.63305103747498,0.26249259654903767,-0.07123121006593645
233.61000061035156,237.49000549316406,232.3699951171875,233.85000610351562,64751400,0.0,0.0,230.25599975585936,58.71181782175889,228.81161478317657,228.09356622755206,0.718048555624506,0.08662474307215204
231.60000610351562,232.1199951171875,229.83999633789062,231.77999877929688,34082200,0.0,0.0,230.7040008544922,55.54687093322249,229.26828924411814,228.36663530545908,0.9016539386590523,0.2496305821895321
233.42999267578125,233.85000610351562,230.52000427246094,232.14999389648438,32993800,0.0,0.0,231.3260009765625,55.662340699169874,229.71162842140524,228.64688408997947,1.0647443314257714,0.41265333203678
236.17999267578125,236.17999267578125,234.00999450683594,235.0,46431500,0.0,0.0,232.81600036621094,52.767018370509234,230.52522404888137,229.11748526849948,1.4077387803818908,0.6116704217058022
234.4499969482422,236.85000610351562,234.4499969482422,236.47999572753906,36254500,0.0,0.0,233.85199890136718,66.65584412370563,231.44134276867487,229.66285641361353,1.7784863550613466,0.8450336083769111
233.88999938964844,236.22000122070312,232.60000610351562,235.86000061035156,38846600,0.0,0.0,234.25399780273438,64.70208044369095,232.121136282779,230.1219041318904,1.999232150888588,1.0758733168792465
234.0800018310547,235.13999938964844,227.75999450683594,230.75999450683594,52287000,0.0,0.0,234.04999694824218,57.29853319563809,231.91172985571083,230.16917008559005,1.7425597701207778,1.2092106075275528
229.97999572753906,230.82000732421875,228.41000366210938,230.57000732421875,31109500,0.0,0.0,233.73399963378907,55.55556554920209,231.70531100471203,230.19886173289586,1.506449271816166,1.2686583403852754
229.74000549316406,233.22000122070312,229.57000732421875,231.41000366210938,38776700,0.0,0.0,233.01600036621093,66.3857215469113,231.65987910585008,230.28857594987463,1.371303155975454,1.2891873035033112
